18.8997 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
20.7956 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002836D6592E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002836D659280>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002836D6590D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002836E5E3760>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.7958 	EXP 	window1: mouseVisible = True
20.7959 	EXP 	window1: backgroundImage = ''
20.7959 	EXP 	window1: backgroundFit = 'none'
20.7961 	EXP 	window1: mouseVisible = False
20.7962 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
20.7962 	EXP 	window1: recordFrameIntervals = False
20.9616 	EXP 	window1: recordFrameIntervals = True
21.1456 	EXP 	Screen (0) actual frame rate measured at 59.84Hz
21.1457 	EXP 	window1: recordFrameIntervals = False
23.5573 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
23.5700 	EXP 	window1: mouseVisible = True
